Rank,Player,Team,Conference,Completions,Attempts,Yards,Touchdowns,Interceptions,Sacks,Rating,PhotoUrl
1,Peyton Manning,DEN,AFC,117,156,1470,16,0,5,138,http://static.nfl.com/static/content/public/static/img/getty/headshot/M/A/N/MAN515097.jpg
2,Drew Brees,NO,NFC,111,166,1434,10,4,12,103.8,http://static.nfl.com/static/content/public/static/img/getty/headshot/B/R/E/BRE229498.jpg
3,Matt Ryan,ATL,NFC,115,173,1330,8,3,7,97.7,http://static.nfl.com/static/content/public/static/img/getty/headshot/R/Y/A/RYA238179.jpg
4,Matthew Stafford,DET,NFC,100,156,1262,7,3,3,96.2,http://static.nfl.com/static/content/public/static/img/getty/headshot/S/T/A/STA134157.jpg
5,Ben Roethlisberger,PIT,AFC,103,162,1231,5,5,15,84.2,http://static.nfl.com/static/content/public/static/img/getty/headshot/R/O/E/ROE750381.jpg
6,Robert Griffin III,WAS,NFC,106,170,1202,6,4,7,85.5,http://static.nfl.com/static/content/public/static/img/getty/headshot/G/R/I/GRI283140.jpg
7,Philip Rivers,SD,AFC,105,142,1199,11,2,6,118.8,http://static.nfl.com/static/content/public/static/img/getty/headshot/R/I/V/RIV651634.jpg
8,Matt Schaub,HOU,AFC,116,177,1193,8,6,11,85.7,http://static.nfl.com/static/content/public/static/img/getty/headshot/S/C/H/SCH085186.jpg
9,Eli Manning,NYG,NFC,85,151,1148,6,9,14,69.1,http://static.nfl.com/static/content/public/static/img/getty/headshot/M/A/N/MAN473170.jpg
10,Sam Bradford,STL,NFC,107,182,1093,7,3,11,82.1,http://static.nfl.com/static/content/public/static/img/getty/headshot/B/R/A/BRA101548.jpg
11,Joe Flacco,BAL,AFC,97,169,1091,5,7,12,69.4,http://static.nfl.com/static/content/public/static/img/getty/headshot/F/L/A/FLA009602.jpg
12,Geno Smith,NYJ,AFC,78,136,1090,4,8,14,68.6,http://static.nfl.com/static/content/public/static/img/getty/headshot/S/M/I/SMI269700.jpg
13,Michael Vick,PHI,AFC,65,118,1080,5,2,14,93.2,http://static.nfl.com/static/content/public/static/img/getty/headshot/V/I/C/VIC311467.jpg
14,Ryan Tannehill,MIA,AFC,93,142,1076,5,5,18,85.3,http://static.nfl.com/static/content/public/static/img/getty/headshot/T/A/N/TAN298716.jpg
15,Aaron Rodgers,GB,NFC,81,122,1057,8,3,10,105.1,http://static.nfl.com/static/content/public/static/img/getty/headshot/R/O/D/ROD339293.jpg
16,Tony Romo,DAL,NFC,110,152,1017,8,1,9,105.1,http://static.nfl.com/static/content/public/static/img/getty/headshot/R/O/M/ROM787981.jpg
17,Tom Brady,NE,AFC,93,158,1014,7,2,7,87.4,http://static.nfl.com/static/content/public/static/img/getty/headshot/B/R/A/BRA371156.jpg
18,Jay Cutler,CHI,NFC,95,148,1010,8,6,6,85.1,http://static.nfl.com/static/content/public/static/img/getty/headshot/C/U/T/CUT288111.jpg
18,Carson Palmer,ARI,NFC,87,152,1010,4,6,10,69.8,http://static.nfl.com/static/content/public/static/img/getty/headshot/P/A/L/PAL249055.jpg
20,Andy Dalton,CIN,AFC,94,148,1003,5,4,7,83.2,http://static.nfl.com/static/content/public/static/img/getty/headshot/D/A/L/DAL659900.jpg
